contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,optionType,expirationDate,mid_price,bid_ask_spread,spread_pct,days_to_expiry,time_to_maturity,moneyness,log_moneyness,discount_factor,pv_strike,intrinsic_value,implied_volatility,weight
SPY260930C00627000,2026-01-07 15:06:23+00:00,627.0,95.81,88.17,90.4,0.0,0.0,6.0,4.0,0.2846751220703124,True,REGULAR,USD,call,2026-09-30,89.285,2.230000000000004,0.02497619980959852,223,0.6109589041095891,0.9182104743607643,-0.08532863973832701,0.969913928229815,608.136033000094,74.71394258584348,0.20765432539393686,1.1177727406966231
SPY260930C00629000,2026-01-09 14:54:13+00:00,629.0,93.52,86.51,87.33,0.0,0.0,211.0,215.0,0.2748790774536133,True,REGULAR,USD,call,2026-09-30,86.92,0.8199999999999932,0.009433962264150865,223,0.6109589041095891,0.9211393753954079,-0.08214392367080717,0.969913928229815,610.0758608565536,72.77411472938388,0.2016319355711717,1.1204120614695134
SPY260930C00632000,2026-01-05 18:10:25+00:00,632.0,88.85,84.15,86.35,0.0,0.0,82.0,53.0,0.27920490089416505,True,REGULAR,USD,call,2026-09-30,85.25,2.1999999999999886,0.025806451612903094,223,0.6109589041095891,0.9255327269473733,-0.07738578622439024,0.969913928229815,612.9856026412431,69.86437294469442,0.20454231294703834,1.141543793510878
SPY260930C00638000,2026-01-05 18:10:30+00:00,638.0,84.16,79.48,81.65,0.0,0.0,240.0,120.0,0.27321588607788083,True,REGULAR,USD,call,2026-09-30,80.565,2.1700000000000017,0.026934773164525562,223,0.6109589041095891,0.934319430051304,-0.06793689702645783,0.969913928229815,618.805086210622,64.0448893753155,0.201371229417196,1.169264471520129
SPY260930C00666000,2026-01-05 15:03:24+00:00,666.0,61.99,58.4,59.03,0.0,0.0,10.0,31.0,0.23767852172851558,True,REGULAR,USD,call,2026-09-30,58.715,0.6300000000000026,0.010729796474495488,223,0.6109589041095891,0.9753240445363143,-0.024985509830858538,0.969913928229815,645.9626762010569,36.887299384880635,0.18079874067457008,1.263506374366506
SPY260930P00656000,2025-12-04 19:09:02+00:00,656.0,28.63,23.6,23.67,0.0,0.0,17.0,19.0,0.16948767532348635,False,REGULAR,USD,put,2026-09-30,23.635,0.07000000000000028,0.0029617093293843994,223,0.6109589041095891,0.9606795393630964,-0.04011439142715861,0.969913928229815,636.2635369187586,0.0,0.20925066567426046,1.2453843042421888
SPY260930P00657000,2025-12-04 19:09:02+00:00,657.0,28.89,23.78,23.86,0.0,0.0,17.0,21.0,0.16839668281555178,False,REGULAR,USD,put,2026-09-30,23.82,0.0799999999999983,0.003358522250209836,223,0.6109589041095891,0.9621439898804182,-0.03859116188663714,0.969913928229815,637.2334508469885,0.0,0.2083433177365971,1.2478747123805454
SPY261218P00775000,2026-01-12 19:56:58+00:00,775.0,80.5,87.86,91.74,0.0,0.0,5.0,15.0,1.0000000000000003e-05,True,REGULAR,USD,put,2026-12-18,89.8,3.8799999999999955,0.04320712694877501,302,0.8273972602739726,1.1349491509243896,0.12658784898209924,0.9594741902967314,743.5924974799668,60.74252189402932,0.20943054019393878,1.0291624684837481
SPY261231C00530000,2026-01-08 15:48:07+00:00,530.0,182.87,177.94,180.67,0.0,0.0,10.0,10.0,0.37058124542236326,True,REGULAR,USD,call,2026-12-31,179.305,2.7299999999999898,0.01522545383564312,315,0.863013698630137,0.7761587741805503,-0.25339817382508023,0.957767058129426,507.61654080859574,175.23343477734176,0.22192123994888535,0.6030012517319899
SPY261231C00645000,2026-01-07 15:22:05+00:00,645.0,90.46,84.0,86.39,0.0,0.0,86.0,44.0,0.2669522158050537,True,REGULAR,USD,call,2026-12-31,85.195,2.3900000000000006,0.02805328951229533,315,0.863013698630137,0.9445705836725566,-0.057024863575475156,0.957767058129426,617.7597524934797,65.09022309245779,0.1888560987529054,1.2173770594228643
SPY280616P00800000,2026-01-07 18:23:24+00:00,800.0,115.17,118.5,123.5,0.0,0.0,5.0,18.0,0.09110405975341798,True,REGULAR,USD,put,2028-06-16,121.0,5.0,0.04132231404958678,848,2.3232876712328765,1.1715604138574345,0.15833654729667956,0.890328855839243,712.2630846713944,29.41310908545688,0.25062810123468365,1.1777720515405599
